,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
71,69,"Fri, Mar 16, 2018",10:30p  ET,,Box Score,,Sacramento Kings,L,,93,98,52,17,L 1,
72,70,"Sat, Mar 17, 2018",10:00p  ET,,Box Score,@,Phoenix Suns,W,,124,109,53,17,W 1,
73,71,"Mon, Mar 19, 2018",9:30p  ET,,Box Score,@,San Antonio Spurs,L,,75,89,53,18,L 1,
74,72,"Fri, Mar 23, 2018",10:30p  ET,,Box Score,,Atlanta Hawks,W,,106,94,54,18,W 1,
75,73,"Sun, Mar 25, 2018",8:30p  ET,,Box Score,,Utah Jazz,L,,91,110,54,19,L 1,
76,74,"Tue, Mar 27, 2018",10:30p  ET,,Box Score,,Indiana Pacers,L,,81,92,54,20,L 2,
77,75,"Thu, Mar 29, 2018",10:30p  ET,,Box Score,,Milwaukee Bucks,L,,107,116,54,21,L 3,
78,76,"Sat, Mar 31, 2018",10:00p  ET,,Box Score,@,Sacramento Kings,W,,112,96,55,21,W 1,
79,77,"Sun, Apr 1, 2018",8:30p  ET,,Box Score,,Phoenix Suns,W,,117,107,56,21,W 2,
80,78,"Tue, Apr 3, 2018",8:00p  ET,,Box Score,@,Oklahoma City Thunder,W,,111,107,57,21,W 3,
81,79,"Thu, Apr 5, 2018",7:00p  ET,,Box Score,@,Indiana Pacers,L,,106,126,57,22,L 1,
82,80,"Sat, Apr 7, 2018",8:30p  ET,,Box Score,,New Orleans Pelicans,L,,120,126,57,23,L 2,
84,81,"Sun, Apr 8, 2018",9:00p  ET,,Box Score,@,Phoenix Suns,W,,117,100,58,23,W 1,
85,82,"Tue, Apr 10, 2018",9:00p  ET,,Box Score,@,Utah Jazz,L,,79,119,58,24,L 1,
