,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
72,70,"Fri, Mar 16, 2018",10:30p  ET,,Box Score,@,Golden State Warriors,W,,98,93,23,47,W 2,
73,71,"Sat, Mar 17, 2018",9:00p  ET,,Box Score,@,Utah Jazz,L,,97,103,23,48,L 1,
74,72,"Mon, Mar 19, 2018",10:00p  ET,,Box Score,,Detroit Pistons,L,,90,106,23,49,L 2,
75,73,"Thu, Mar 22, 2018",10:00p  ET,,Box Score,,Atlanta Hawks,W,,105,90,24,49,W 1,
76,74,"Sun, Mar 25, 2018",6:00p  ET,,Box Score,,Boston Celtics,L,,93,104,24,50,L 1,
77,75,"Tue, Mar 27, 2018",10:00p  ET,,Box Score,,Dallas Mavericks,L,,97,103,24,51,L 2,
78,76,"Thu, Mar 29, 2018",10:00p  ET,,Box Score,,Indiana Pacers,L,,103,106,24,52,L 3,
79,77,"Sat, Mar 31, 2018",10:00p  ET,,Box Score,,Golden State Warriors,L,,96,112,24,53,L 4,
80,78,"Sun, Apr 1, 2018",9:30p  ET,,Box Score,@,Los Angeles Lakers,W,,84,83,25,53,W 1,
81,79,"Tue, Apr 3, 2018",10:00p  ET,,Box Score,@,Phoenix Suns,L,,94,97,25,54,L 1,
82,80,"Fri, Apr 6, 2018",8:00p  ET,,Box Score,@,Memphis Grizzlies,W,,94,93,26,54,W 1,
84,81,"Mon, Apr 9, 2018",8:30p  ET,,Box Score,@,San Antonio Spurs,L,,85,98,26,55,L 1,
85,82,"Wed, Apr 11, 2018",10:30p  ET,,Box Score,,Houston Rockets,W,,96,83,27,55,W 1,
