,G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Notes
59,58,"Mon, Feb 12, 2018",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,92,108,23,35,L 7,
60,59,"Wed, Feb 14, 2018",7:30p  ET,,Box Score,,Washington Wizards,L,,113,118,23,36,L 8,
61,60,"Thu, Feb 22, 2018",7:00p  ET,,Box Score,@,Orlando Magic,W,,120,113,24,36,W 1,
63,61,"Sat, Feb 24, 2018",7:30p  ET,,Box Score,,Boston Celtics,L,,112,121,24,37,L 1,
64,62,"Mon, Feb 26, 2018",7:30p  ET,,Box Score,,Golden State Warriors,L,,111,125,24,38,L 2,
65,63,"Fri, Mar 2, 2018",10:30p  ET,,Box Score,@,Los Angeles Clippers,L,,105,128,24,39,L 3,
66,64,"Sun, Mar 4, 2018",9:00p  ET,,Box Score,@,Sacramento Kings,L,,99,102,24,40,L 4,
67,65,"Tue, Mar 6, 2018",10:00p  ET,,Box Score,@,Portland Trail Blazers,L,,87,111,24,41,L 5,
68,66,"Fri, Mar 9, 2018",8:00p  ET,,Box Score,@,Milwaukee Bucks,L,,112,120,24,42,L 6,
69,67,"Sun, Mar 11, 2018",1:00p  ET,,Box Score,,Toronto Raptors,L,,106,132,24,43,L 7,
70,68,"Tue, Mar 13, 2018",7:30p  ET,,Box Score,,Dallas Mavericks,L,,97,110,24,44,L 8,
71,69,"Thu, Mar 15, 2018",7:30p  ET,,Box Score,,Philadelphia 76ers,L,,110,118,24,45,L 9,
72,70,"Sat, Mar 17, 2018",7:30p  ET,,Box Score,,Charlotte Hornets,W,,124,101,25,45,W 1,
73,71,"Mon, Mar 19, 2018",7:30p  ET,,Box Score,,Chicago Bulls,W,,110,92,26,45,W 2,
74,72,"Wed, Mar 21, 2018",7:30p  ET,,Box Score,@,Miami Heat,L,,98,119,26,46,L 1,
75,73,"Fri, Mar 23, 2018",7:30p  ET,,Box Score,,Minnesota Timberwolves,L,,104,108,26,47,L 2,
76,74,"Sun, Mar 25, 2018",6:00p  ET,,Box Score,@,Washington Wizards,W,,101,97,27,47,W 1,
77,75,"Mon, Mar 26, 2018",7:00p  ET,,Box Score,@,Charlotte Hornets,L,OT,128,137,27,48,L 1,
78,76,"Wed, Mar 28, 2018",7:00p  ET,,Box Score,@,Philadelphia 76ers,L,,101,118,27,49,L 2,
79,77,"Sat, Mar 31, 2018",5:00p  ET,,Box Score,,Detroit Pistons,L,,109,115,27,50,L 3,
80,78,"Tue, Apr 3, 2018",7:30p  ET,,Box Score,,Orlando Magic,L,,73,97,27,51,L 4,
81,79,"Fri, Apr 6, 2018",7:30p  ET,,Box Score,,Miami Heat,W,,122,98,28,51,W 1,
82,80,"Sat, Apr 7, 2018",7:30p  ET,,Box Score,,Milwaukee Bucks,L,,102,115,28,52,L 1,
84,81,"Mon, Apr 9, 2018",7:30p  ET,,Box Score,,Cleveland Cavaliers,L,,109,123,28,53,L 2,
85,82,"Wed, Apr 11, 2018",8:00p  ET,,Box Score,@,Cleveland Cavaliers,W,,110,98,29,53,W 1,
